"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
G2891,대전광역시,중구,시도,,동서대로,02,,대전광역시 중구 태평동 409-17,36.32638600,127.39264500,강남한의원 앞,02,60,,,,2019,대전광역시,042-120,2022-12-15
G2892,대전광역시,서구,시도,,계백로,02,,대전광역시 서구 정림동 503,36.30756800,127.36461800,정림삼거리,02,60,,,,2019,대전광역시,042-120,2022-12-15
G2893,대전광역시,서구,시도,,계룡로,01,,대전광역시 서구 탄방동 81-20,36.33838100,127.39325100,용문역네거리,02,50,,,,2019,대전광역시,042-120,2022-12-15
G2895,대전광역시,서구,시도,,대덕대로,02,,대전광역시 서구 둔산동 950,36.35805300,127.37965400,정부청사역네거리,02,50,,,,2019,대전광역시,042-120,2022-12-15
G2897,대전광역시,서구,시도,,계룡로,02,,대전광역시 서구 갈마동 274-4,36.35419500,127.36407400,대전일보 앞 네거리,02,50,,,,2019,대전광역시,042-120,2022-12-15
G2898,대전광역시,서구,시도,,계룡로,02,,대전광역시 서구 탄방동 518-2,36.34443300,127.37982100,숭어리샘네거리,02,50,,,,2019,대전광역시,042-120,2022-12-15
G2899,대전광역시,유성구,시도,,계룡로,02,,대전광역시 유성구 봉명동 551-11,36.35392600,127.34183400,유성네거리,02,50,,,,2019,대전광역시,042-120,2022-12-15
G3110,대전광역시,유성구,시도,,현충원로,01,,대전광역시 유성구 구암동 692,36.36057600,127.30535400,덕명네거리,02,50,,,,2019,대전광역시,042-120,2022-12-15
G3123,대전광역시,유성구,시도,,문지로,02,,대전광역시 유성구 문지동 475-1,36.39054200,127.39197600,국립문화재연구소 앞,01,50,,,,2019,대전광역시,042-120,2022-12-15
G3124,대전광역시,유성구,시도,,북유성대로,01,,대전광역시 유성구 지족동 22-5,36.37460700,127.32580500,유성선병원 앞,01,60,,,,2019,대전광역시,042-120,2022-12-15
G3127,대전광역시,서구,시도,,계룡로,01,,대전광역시 서구 갈마동 261-10,36.35324300,127.36886100,갈마네거리,02,50,,,,2019,대전광역시,042-120,2022-12-15
G3128,대전광역시,서구,시도,,계백로,01,,대전광역시 서구 가수원동 1061,36.30509900,127.35296600,가수원네거리,02,60,,,,2019,대전광역시,042-120,2022-12-15
G3378,대전광역시,서구,시도,,배재로,02,,대전광역시 서구 도마동 24-47,36.32379400,127.37037200,도마초 입구 삼거리,02,30,,,02,2019,대전광역시,042-120,2022-12-15
G4262,대전광역시,서구,시도,,계백로,02,,대전광역시 서구 도마동 175-23,36.31306100,127.38039900,도마네거리,02,50,,,,2020,대전광역시,042-120,2022-12-15
G4263,대전광역시,서구,시도,,구봉산북로,02,,대전광역시 서구 관저동 198,36.29329500,127.32816100,더샵(아) 209동 앞 삼거리,02,50,,,,2020,대전광역시,042-120,2022-12-15
G4267,대전광역시,서구,시도,,대덕대로,01,,대전광역시 서구 월평동 282,36.35957500,127.37912200,선사유적네거리,02,50,,,,2020,대전광역시,042-120,2022-12-15
G4268,대전광역시,서구,시도,,대덕대로,01,,대전광역시 서구 둔산동 1040,36.35122900,127.37801700,은하수네거리,02,50,,,,2020,대전광역시,042-120,2022-12-15
G4269,대전광역시,서구,시도,,한밭대로,01,,대전광역시 서구 월평동 312,36.35855600,127.36415500,월평역네거리,02,50,,,,2020,대전광역시,042-120,2022-12-15
G4270,대전광역시,유성구,시도,,유성대로,01,,대전광역시 유성구 교촌동 118-53,36.31469100,127.31558100,한우물네거리,02,60,,,,2020,대전광역시,042-120,2022-12-15
G4271,대전광역시,유성구,시도,,유성대로,01,,대전광역시 유성구 복용동 175-6,36.34144200,127.31994200,복용삼거리,02,60,,,,2020,대전광역시,042-120,2022-12-15
G5294,대전광역시,서구,시도,,원도안로,01,,대전광역시 서구 도안동 1242,36.32104100,127.34380300,도안초교 옆 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G5295,대전광역시,서구,시도,,관저로,01,,대전광역시 서구 관저동 1419,36.29930900,127.34322300,느리울초교 옆 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6235,대전광역시,중구,시도,,대둔산로,02,,대전광역시 중구 사정동 416-1,36.29902100,127.38521600,산성초교 정문 횡단보도,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6237,대전광역시,중구,시도,,태평로,01,,대전광역시 중구 태평동 365-47,36.32991100,127.39654600,유평초교 후문 앞 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6238,대전광역시,중구,시도,,평촌로,01,,대전광역시 중구 태평동 419-1,36.32196500,127.39041400,신평초교 입구 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6241,대전광역시,중구,시도,,태평로,01,,대전광역시 중구 유천동 326-15,36.31928500,127.39252200,버드내초 앞 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6244,대전광역시,서구,시도,,관저북로,01,,대전광역시 서구 관저동 999,36.30552200,127.34049800,관저초 옆 네거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6245,대전광역시,서구,시도,,변동중로,02,,대전광역시 서구 변동 15-13,36.32960600,127.37903600,내동초 앞 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6246,대전광역시,서구,시도,,관저로,03,,대전광역시 서구 관저동 1396,36.29799900,127.34475700,느리울초네거리,02,50,,,02,2020,대전광역시,042-120,2022-12-15
G6247,대전광역시,서구,시도,,복수동로,02,,대전광역시 서구 복수동 452,36.30070600,127.37851100,신계초교 앞,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6250,대전광역시,서구,시도,,월평서로,01,,대전광역시 서구 월평동 1181-2,36.35466800,127.35772900,월평초 앞 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6251,대전광역시,서구,시도,,탄방로,01,,대전광역시 서구 탄방동 786,36.34555100,127.39031200,탄방동 성당 앞,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6252,대전광역시,유성구,시도,,반석로,01,,대전광역시 유성구 반석동 639-1,36.39132100,127.31202900,반석초교 입구 네거리,02,30,,,,2020,대전광역시,042-120,2022-12-15
G6253,대전광역시,유성구,시도,,송강로,01,,대전광역시 유성구 송강동 196,36.43287800,127.38452900,송강초 앞 네거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
G6254,대전광역시,유성구,시도,,와룡로,02,,대전광역시 유성구 송강동 208-2,36.42964100,127.38272700,두리초 앞 삼거리,02,30,,,02,2020,대전광역시,042-120,2022-12-15
